match_date,venue,team_1,team_2,winner,team_1_score,team_2_score,team_1_runs_over_1,team_2_runs_over_1,team_2_wickets_till_over_1,team_2_score_till_over_1,runs_still_required_over_1,required_run_rate_over_1,wickets_to_run_ratio_over_1,team_1_runs_over_2,team_2_runs_over_2,team_2_wickets_till_over_2,team_2_score_till_over_2,runs_still_required_over_2,required_run_rate_over_2,wickets_to_run_ratio_over_2,team_1_runs_over_3,team_2_runs_over_3,team_2_wickets_till_over_3,team_2_score_till_over_3,runs_still_required_over_3,required_run_rate_over_3,wickets_to_run_ratio_over_3,team_1_runs_over_4,team_2_runs_over_4,team_2_wickets_till_over_4,team_2_score_till_over_4,runs_still_required_over_4,required_run_rate_over_4,wickets_to_run_ratio_over_4,team_1_runs_over_5,team_2_runs_over_5,team_2_wickets_till_over_5,team_2_score_till_over_5,runs_still_required_over_5,required_run_rate_over_5,wickets_to_run_ratio_over_5,team_1_runs_over_6,team_2_runs_over_6,team_2_wickets_till_over_6,team_2_score_till_over_6,runs_still_required_over_6,required_run_rate_over_6,wickets_to_run_ratio_over_6,team_1_runs_over_7,team_2_runs_over_7,team_2_wickets_till_over_7,team_2_score_till_over_7,runs_still_required_over_7,required_run_rate_over_7,wickets_to_run_ratio_over_7,team_1_runs_over_8,team_2_runs_over_8,team_2_wickets_till_over_8,team_2_score_till_over_8,runs_still_required_over_8,required_run_rate_over_8,wickets_to_run_ratio_over_8,team_1_runs_over_9,team_2_runs_over_9,team_2_wickets_till_over_9,team_2_score_till_over_9,runs_still_required_over_9,required_run_rate_over_9,wickets_to_run_ratio_over_9,team_1_runs_over_10,team_2_runs_over_10,team_2_wickets_till_over_10,team_2_score_till_over_10,runs_still_required_over_10,required_run_rate_over_10,wickets_to_run_ratio_over_10,team_1_runs_over_11,team_2_runs_over_11,team_2_wickets_till_over_11,team_2_score_till_over_11,runs_still_required_over_11,required_run_rate_over_11,wickets_to_run_ratio_over_11,team_1_runs_over_12,team_2_runs_over_12,team_2_wickets_till_over_12,team_2_score_till_over_12,runs_still_required_over_12,required_run_rate_over_12,wickets_to_run_ratio_over_12,team_1_runs_over_13,team_2_runs_over_13,team_2_wickets_till_over_13,team_2_score_till_over_13,runs_still_required_over_13,required_run_rate_over_13,wickets_to_run_ratio_over_13,team_1_runs_over_14,team_2_runs_over_14,team_2_wickets_till_over_14,team_2_score_till_over_14,runs_still_required_over_14,required_run_rate_over_14,wickets_to_run_ratio_over_14,team_1_runs_over_15,team_2_runs_over_15,team_2_wickets_till_over_15,team_2_score_till_over_15,runs_still_required_over_15,required_run_rate_over_15,wickets_to_run_ratio_over_15,team_1_runs_over_16,team_2_runs_over_16,team_2_wickets_till_over_16,team_2_score_till_over_16,runs_still_required_over_16,required_run_rate_over_16,wickets_to_run_ratio_over_16,team_1_runs_over_17,team_2_runs_over_17,team_2_wickets_till_over_17,team_2_score_till_over_17,runs_still_required_over_17,required_run_rate_over_17,wickets_to_run_ratio_over_17,team_1_runs_over_18,team_2_runs_over_18,team_2_wickets_till_over_18,team_2_score_till_over_18,runs_still_required_over_18,required_run_rate_over_18,wickets_to_run_ratio_over_18,team_1_runs_over_19,team_2_runs_over_19,team_2_wickets_till_over_19,team_2_score_till_over_19,runs_still_required_over_19,required_run_rate_over_19,wickets_to_run_ratio_over_19,team_1_runs_over_20,team_2_runs_over_20,team_2_wickets_till_over_20,team_2_score_till_over_20,runs_still_required_over_20,required_run_rate_over_20,wickets_to_run_ratio_over_20
2013-04-21,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Punjab Kings,Punjab Kings,185,186,9,5,1,5,181,9.526315789473685,0.0055248618784530384,11,10,2,15,171,9.5,0.011695906432748537,8,11,2,26,160,9.411764705882353,0.0125,9,10,2,36,150,9.375,0.013333333333333334,10,8,2,44,142,9.466666666666667,0.014084507042253521,1,11,2,55,131,9.357142857142858,0.015267175572519083,9,4,3,59,127,9.76923076923077,0.023622047244094488,4,6,3,65,121,10.083333333333334,0.024793388429752067,7,7,3,72,114,10.363636363636363,0.02631578947368421,9,11,3,83,103,10.3,0.02912621359223301,6,7,3,90,96,10.666666666666666,0.03125,8,12,3,102,84,10.5,0.03571428571428571,12,9,3,111,75,10.714285714285714,0.04,13,10,3,121,65,10.833333333333334,0.046153846153846156,8,8,3,129,57,11.4,0.05263157894736842,4,12,3,141,45,11.25,0.06666666666666667,14,8,3,149,37,12.333333333333334,0.08108108108108109,17,8,3,157,29,14.5,0.10344827586206896,20,13,3,170,16,16.0,0.1875,6,16,3,186,0,0,0.0
2023-05-26,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Gujarat Titans,233,171,3,9,1,9,225,11.842105263157896,0.0044444444444444444,10,12,1,21,213,11.833333333333334,0.004694835680751174,7,8,2,29,205,12.058823529411764,0.00975609756097561,7,12,2,41,193,12.0625,0.010362694300518135,11,24,2,65,169,11.266666666666667,0.011834319526627219,12,7,3,72,162,11.571428571428571,0.018518518518518517,9,5,3,77,157,12.076923076923077,0.01910828025477707,5,7,3,84,150,12.5,0.02,16,11,3,95,139,12.636363636363637,0.02158273381294964,11,15,3,110,124,12.4,0.024193548387096774,7,13,3,123,111,12.333333333333334,0.02702702702702703,21,5,4,128,106,13.25,0.03773584905660377,20,6,4,134,100,14.285714285714286,0.04,8,15,4,149,85,14.166666666666666,0.047058823529411764,19,7,6,156,78,15.6,0.07692307692307693,17,5,7,161,73,18.25,0.0958904109589041,15,3,9,164,70,23.333333333333332,0.12857142857142856,7,6,9,170,64,32.0,0.140625,9,1,10,171,63,63.0,0.15873015873015872,19,0,0,0,0,0,0.0
2020-10-28,Sheikh Zayed Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,164,166,5,5,0,5,160,8.421052631578947,0.0,5,10,0,15,150,8.333333333333334,0.0,12,6,0,21,144,8.470588235294118,0.0,10,10,0,31,134,8.375,0.0,10,5,0,36,129,8.6,0.0,12,9,1,45,120,8.571428571428571,0.008333333333333333,6,4,1,49,116,8.923076923076923,0.008620689655172414,13,4,2,53,112,9.333333333333334,0.017857142857142856,4,5,2,58,107,9.727272727272727,0.018691588785046728,11,12,2,70,95,9.5,0.021052631578947368,5,3,3,73,92,10.222222222222221,0.03260869565217391,4,13,3,86,79,9.875,0.0379746835443038,3,13,3,99,66,9.428571428571429,0.045454545454545456,13,8,4,107,58,9.666666666666666,0.06896551724137931,16,10,4,117,48,9.6,0.08333333333333333,5,13,4,130,35,8.75,0.11428571428571428,0,8,4,138,27,9.0,0.14814814814814814,12,11,4,149,16,8.0,0.25,5,13,5,162,3,3.0,1.6666666666666667,13,4,5,166,0,0,0.0
2017-04-17,Feroz Shah Kotla,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,168,169,10,6,1,6,163,8.578947368421053,0.006134969325153374,9,13,2,19,150,8.333333333333334,0.013333333333333334,17,2,3,21,148,8.705882352941176,0.02027027027027027,5,7,3,28,141,8.8125,0.02127659574468085,9,6,3,34,135,9.0,0.022222222222222223,3,15,3,49,120,8.571428571428571,0.025,6,3,3,52,117,9.0,0.02564102564102564,4,9,3,61,108,9.0,0.027777777777777776,8,14,3,75,94,8.545454545454545,0.031914893617021274,12,13,3,88,81,8.1,0.037037037037037035,4,5,3,93,76,8.444444444444445,0.039473684210526314,11,6,3,99,70,8.75,0.04285714285714286,6,11,3,110,59,8.428571428571429,0.05084745762711865,5,15,3,125,44,7.333333333333333,0.06818181818181818,1,10,4,135,34,6.8,0.11764705882352941,9,6,4,141,28,7.0,0.14285714285714285,26,6,4,147,22,7.333333333333333,0.18181818181818182,7,6,5,153,16,8.0,0.3125,5,7,5,160,9,9.0,0.5555555555555556,11,9,6,169,0,0,0.0
2017-04-20,Holkar Cricket Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,198,199,8,10,0,10,189,9.947368421052632,0.0,7,11,0,21,178,9.88888888888889,0.0,11,13,0,34,165,9.705882352941176,0.0,6,17,0,51,148,9.25,0.0,7,17,0,68,131,8.733333333333333,0.0,7,14,1,82,117,8.357142857142858,0.008547008547008548,6,5,1,87,112,8.615384615384615,0.008928571428571428,6,14,1,101,98,8.166666666666666,0.01020408163265306,5,16,1,117,82,7.454545454545454,0.012195121951219513,6,6,1,123,76,7.6,0.013157894736842105,11,11,1,134,65,7.222222222222222,0.015384615384615385,11,16,1,150,49,6.125,0.02040816326530612,9,16,1,166,33,4.714285714285714,0.030303030303030304,11,4,2,170,29,4.833333333333333,0.06896551724137931,28,21,2,191,8,1.6,0.25,22,8,2,199,0,0.0,0.0,4,0,0,0,0,0.0,0.0,5,0,0,0,0,0.0,0.0,10,0,0,0,0,0.0,0.0,18,0,0,0,0,0,0.0
2021-04-09,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,159,160,5,10,0,10,150,7.894736842105263,0.0,1,5,0,15,145,8.055555555555555,0.0,6,6,0,21,139,8.176470588235293,0.0,12,14,0,35,125,7.8125,0.0,6,6,1,41,119,7.933333333333334,0.008403361344537815,11,5,2,46,114,8.142857142857142,0.017543859649122806,14,4,2,50,110,8.461538461538462,0.01818181818181818,15,13,2,63,97,8.083333333333334,0.020618556701030927,13,6,2,69,91,8.272727272727273,0.02197802197802198,3,6,2,75,85,8.5,0.023529411764705882,8,9,2,84,76,8.444444444444445,0.02631578947368421,4,11,2,95,65,8.125,0.03076923076923077,7,4,3,99,61,8.714285714285714,0.04918032786885246,15,4,3,103,57,9.5,0.05263157894736842,8,3,5,106,54,10.8,0.09259259259259259,7,15,5,121,39,9.75,0.1282051282051282,7,5,6,126,34,11.333333333333334,0.17647058823529413,4,15,6,141,19,9.5,0.3157894736842105,12,12,7,153,7,7.0,1.0,1,7,8,160,0,0,0.0
2014-04-25,Dubai International Cricket Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,141,142,2,0,0,0,142,7.473684210526316,0.0,9,2,0,2,140,7.777777777777778,0.0,9,13,0,15,127,7.470588235294118,0.0,5,17,0,32,110,6.875,0.0,1,5,0,37,105,7.0,0.0,5,14,0,51,91,6.5,0.0,6,9,1,60,82,6.3076923076923075,0.012195121951219513,7,2,2,62,80,6.666666666666667,0.025,3,3,2,65,77,7.0,0.025974025974025976,10,11,2,76,66,6.6,0.030303030303030304,12,2,2,78,64,7.111111111111111,0.03125,4,7,2,85,57,7.125,0.03508771929824561,15,10,2,95,47,6.714285714285714,0.0425531914893617,6,9,2,104,38,6.333333333333333,0.05263157894736842,14,3,2,107,35,7.0,0.05714285714285714,5,7,3,114,28,7.0,0.10714285714285714,7,6,3,120,22,7.333333333333333,0.13636363636363635,5,13,3,133,9,4.5,0.3333333333333333,2,9,3,142,0,0.0,0.0,14,0,0,0,0,0,0.0
2010-04-04,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Punjab Kings,200,204,9,8,0,8,193,10.157894736842104,0.0,8,11,0,19,182,10.11111111111111,0.0,8,12,0,31,170,10.0,0.0,6,13,0,44,157,9.8125,0.0,15,8,1,52,149,9.933333333333334,0.006711409395973154,7,17,1,69,132,9.428571428571429,0.007575757575757576,2,6,1,75,126,9.692307692307692,0.007936507936507936,3,11,1,86,115,9.583333333333334,0.008695652173913044,4,7,1,93,108,9.818181818181818,0.009259259259259259,7,14,1,107,94,9.4,0.010638297872340425,9,16,1,123,78,8.666666666666666,0.01282051282051282,11,13,1,136,65,8.125,0.015384615384615385,33,8,1,144,57,8.142857142857142,0.017543859649122806,11,5,2,149,52,8.666666666666666,0.038461538461538464,16,7,2,156,45,9.0,0.044444444444444446,10,13,2,169,32,8.0,0.0625,6,19,2,188,13,4.333333333333333,0.15384615384615385,13,8,2,196,5,2.5,0.4,10,8,2,204,0,0.0,0.0,12,0,0,0,0,0,0.0
2008-05-15,Feroz Shah Kotla,Delhi Capitals,Deccan Chargers,Delhi Capitals,194,182,7,10,0,10,185,9.736842105263158,0.0,5,11,0,21,174,9.666666666666666,0.0,2,6,1,27,168,9.882352941176471,0.005952380952380952,20,17,1,44,151,9.4375,0.006622516556291391,6,17,1,61,134,8.933333333333334,0.007462686567164179,8,10,1,71,124,8.857142857142858,0.008064516129032258,8,2,2,73,122,9.384615384615385,0.01639344262295082,3,1,2,74,121,10.083333333333334,0.01652892561983471,7,4,3,78,117,10.636363636363637,0.02564102564102564,10,6,3,84,111,11.1,0.02702702702702703,10,9,3,93,102,11.333333333333334,0.029411764705882353,13,19,3,112,83,10.375,0.03614457831325301,13,2,4,114,81,11.571428571428571,0.04938271604938271,18,6,4,120,75,12.5,0.05333333333333334,8,8,4,128,67,13.4,0.05970149253731343,8,9,4,137,58,14.5,0.06896551724137931,12,15,4,152,43,14.333333333333334,0.09302325581395349,13,18,5,170,25,12.5,0.2,9,10,6,180,15,15.0,0.4,14,2,9,182,13,0,0.6923076923076923
2017-04-26,Maharashtra Cricket Association Stadium,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,182,184,6,8,0,8,175,9.210526315789474,0.0,8,10,0,18,165,9.166666666666666,0.0,11,3,1,21,162,9.529411764705882,0.006172839506172839,5,7,1,28,155,9.6875,0.0064516129032258064,12,10,1,38,145,9.666666666666666,0.006896551724137931,15,7,1,45,138,9.857142857142858,0.007246376811594203,5,11,1,56,127,9.76923076923077,0.007874015748031496,3,20,1,76,107,8.916666666666666,0.009345794392523364,9,11,1,87,96,8.727272727272727,0.010416666666666666,9,14,1,101,82,8.2,0.012195121951219513,6,10,1,111,72,8.0,0.013888888888888888,9,12,1,123,60,7.5,0.016666666666666666,9,12,1,135,48,6.857142857142857,0.020833333333333332,7,12,1,147,36,6.0,0.027777777777777776,15,12,1,159,24,4.8,0.041666666666666664,11,14,1,173,10,2.5,0.1,7,5,2,178,5,1.6666666666666667,0.4,5,2,3,180,3,1.5,1.0,18,4,3,184,0,0.0,0.0,12,0,0,0,0,0,0.0
